,m,delta_scaling,occlusion_level,l2_diff_val_gt,validation_diff_svals,true_diff_svals,time_diff,fun,jac,nfev,njev,nit,status,message,x,success,hess_inv
0,5,0.0,0.0,34.17147948922846,"[30.17854509 30.37995994 30.49030285 30.55893751 30.70460898 31.19710589
 31.22084039 31.45100865 31.85950006 32.17608447 32.4690355  32.60227169
 32.72329071 33.43661834 33.78627925 35.53856405 35.80237304 36.94858071
 36.95565384]","[11.8266389  11.82864173 12.0347955  12.08677235 12.11997303 12.14116094
 12.21239076 12.40401638 12.51420714 12.59024669 12.62121955 12.79294945
 12.91778715 13.54308733 13.63344006 14.05935887 14.06520143 14.94661735
 20.34998258]",286.110266,273.3070133066155,[-0.00069349  0.00015916  0.00040927  0.00050022 -0.00026716],114,19,14,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.19293269 0.18224663 0.18599165 0.17225983 0.19528776],True,<5x5 LbfgsInvHessProduct with dtype=float64>
1,5,0.0,0.1,34.57159329605381,"[31.21316638 31.50025039 31.55002347 31.8385651  32.11065624 32.55471575
 32.7169924  32.92087574 32.96564727 33.28740778 33.41426665 33.63606844
 34.64638892 36.07495491 36.88911766 38.09626651 39.06752631 39.61449911
 52.92467129]","[15.49372233 15.50168716 15.68753878 15.74815851 16.0066057  16.1832927
 16.88213343 17.62123256 17.98722131 19.22111551 19.41942212 19.71838926
 20.40589573 21.88881    24.88383207 25.32354232 27.39487312 33.88426144
 48.66816118]",256.201278,291.4390885224978,"[ 5.11590770e-05  4.54747351e-05 -3.97903932e-04  2.10320650e-04
 -5.34328138e-04]",90,15,10,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.20848529 0.21942588 0.23563636 0.20375158 0.23022551],True,<5x5 LbfgsInvHessProduct with dtype=float64>
2,5,0.0,0.5,34.50078073897325,"[ 41.77815968  42.30236291  42.39024042  44.12599809  44.26605794
  44.31595913  45.22195891  45.29224394  46.72262343  48.87442864
  48.87442873  50.62710692  53.3168747   58.07083808  59.36393794
  63.94501602  78.57957423  83.04294499 119.07119553]","[ 35.97718555  36.45061621  37.0928611   37.86724207  38.08214134
  39.43242787  40.520409    41.48017788  42.00810682  43.13306739
  45.85125762  46.95290497  50.54207132  54.35962419  56.94516912
  61.19531267  75.29281799  81.07080181 117.22323813]",399.885568,495.82072160168616,[14.49627682 17.30671775  9.63465249  8.34286875  2.29890132],318,53,13,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.56574957 0.51682056 0.54359393 0.51612749 0.51906492],True,<5x5 LbfgsInvHessProduct with dtype=float64>
3,5,0.1,0.0,33.6502277498833,"[30.38143668 30.5276995  30.61100435 30.6781038  31.07426148 31.12991124
 31.18196935 31.52052415 31.59248488 32.63343219 32.7479913  32.8163909
 32.88614387 33.23023098 33.41682615 35.75017168 35.79086943 36.52216395
 36.73292859]","[11.80066498 12.00401464 12.02266726 12.15339518 12.18775203 12.22588009
 12.28675471 12.36384562 12.53446265 12.5658716  12.63917999 12.65960826
 12.99048543 13.63664772 13.72431039 14.10530854 14.31752763 16.09312889
 21.4546784 ]",319.796679,269.12841921891976,[0.00038654 0.00023874 0.00042633 0.00056843 0.00041496],108,18,13,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.19011088 0.18427733 0.18138469 0.1846961  0.18291076],True,<5x5 LbfgsInvHessProduct with dtype=float64>
4,5,0.1,0.1,34.312128144334714,"[31.75494975 32.39476147 32.59907953 32.7721939  32.96004818 33.58910989
 33.66235212 33.73069728 34.01395917 34.3443587  34.57737775 35.02106906
 35.25082546 36.45993963 37.40163477 37.72271552 38.17844872 44.48439211
 44.75738553]","[15.99121608 16.02400313 16.36166279 16.55941939 16.67895246 16.92847445
 16.9768264  17.27003636 17.37540461 18.45634662 19.30416978 19.84794398
 20.28420999 20.7886948  22.15514678 26.56442287 28.0658512  38.39295241
 39.68694294]",221.336446,295.0098396837359,[ 0.00329692  0.00622435  0.01006129 -0.00061391  0.00122213],78,13,10,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.25439023 0.22942339 0.25026652 0.23590619 0.23719031],True,<5x5 LbfgsInvHessProduct with dtype=float64>
5,5,0.1,0.5,34.19744187811258,"[ 41.79093225  42.6591966   44.19749222  44.69405915  45.31058838
  45.95701517  45.97273509  46.34653516  48.64983583  48.83316772
  49.44157582  52.19581268  54.29413999  58.85410552  62.08192361
  65.86446101  81.28806455  87.31213681 126.07081229]","[ 36.52918457  37.07984779  38.06639774  38.99370053  40.38238687
  40.65967428  40.96572081  41.96839998  42.57480678  45.11309283
  46.19430408  47.96967107  50.86960897  55.56853326  59.44411838
  62.89095096  77.98180963  84.64768255 123.90613975]",85.19032,507.3384749015219,"[ 0.00000000e+00 -5.11590767e-05  4.54747349e-05  3.97903930e-05
  3.41060511e-05]",66,11,9,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,[0.55904689 0.57731733 0.55937772 0.54278563 0.56432973],True,<5x5 LbfgsInvHessProduct with dtype=float64>
6,10,0.0,0.0,34.033556422972694,"[29.15281172 29.23329637 29.45123351 29.47325005 29.64656686 29.97050719
 30.32033776 30.48554671 30.66144395 31.11948024 31.28003541 31.33633344
 31.73763117 31.92582117 32.3536222  34.1877693  34.33619623 35.66507444
 35.73535713]","[ 8.49235703  8.64020194  8.68841322  8.73733323  8.84336986  8.92307626
  8.92456419  8.9976623   9.06342767  9.14086214  9.2086358   9.27536622
  9.40841533  9.90964481  9.94106208 10.26060339 10.35102157 11.61394938
 15.47421245]",657.712687,262.8224833447171,"[ 9.03810360e-04  4.43378667e-04  8.35598258e-04 -2.64890332e-03
  6.82121027e-05 -1.53477231e-04  3.92219590e-04  1.94972927e-03
  2.29647412e-03  1.21076482e-03]",165,15,11,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.0931938  0.08592218 0.09040828 0.09284115 0.09912675 0.09986599
 0.09898029 0.10022488 0.09319926 0.09035162]",True,<10x10 LbfgsInvHessProduct with dtype=float64>
7,10,0.0,0.1,34.134148949318984,"[30.01701544 30.12500136 30.12705943 30.23816843 30.47838476 30.94051469
 31.16064498 31.21516343 31.57279483 31.74850796 31.76660465 32.24094951
 32.79640727 32.82526568 34.15799173 35.07259046 36.133891   36.67785999
 41.64805338]","[11.37194675 11.50608913 11.70483918 11.78764828 11.86213527 11.94165005
 12.06278733 12.55142392 13.04275073 13.48806035 14.26000727 14.62037925
 15.02433638 15.44747903 17.67726079 18.58181066 20.85654305 24.72362693
 34.98826478]",860.907359,271.6715602914509,"[0.00959517 0.00234763 0.01674607 0.01936087 0.01823537 0.0288253
 0.01115836 0.00672458 0.01613785 0.01775788]",187,17,13,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.12873871 0.10711564 0.1227486  0.10780777 0.11770104 0.09409368
 0.11586375 0.11464652 0.10755799 0.12917262]",True,<10x10 LbfgsInvHessProduct with dtype=float64>
8,10,0.0,0.5,34.331740182685934,"[36.13430299 36.53248057 36.62896397 37.29765736 37.83021006 38.09753189
 38.64615124 38.81189608 39.30644042 40.02417371 40.339784   41.16397966
 42.16529593 45.74970579 47.0671373  51.02916645 64.7589641  64.98083237
 89.43694834]","[26.56856309 27.08241955 27.95315801 28.04531964 28.73070724 29.47959209
 30.04431073 30.92645641 32.08554168 33.46046755 34.01631964 35.46654608
 37.52017386 40.97365016 42.6643644  46.838132   60.96040462 62.29298156
 87.01657001]",361.306226,397.2548655969629,"[-6.13908924e-04  3.41060513e-04  4.54747351e-05  3.41060513e-04
 -6.25277608e-05  7.38964446e-05 -5.11590770e-05  4.20641300e-04
 -9.09494702e-05  5.00222086e-04]",143,13,10,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.29985417 0.31818554 0.32412134 0.33165066 0.30905855 0.34640623
 0.31097532 0.3175936  0.35736027 0.33594637]",True,<10x10 LbfgsInvHessProduct with dtype=float64>
9,10,0.1,0.0,34.189281001319685,"[29.32470447 29.38595323 29.46429858 29.6390024  29.78308876 30.29017677
 30.31532952 30.62837196 30.74102648 30.85422793 30.94615085 31.12288262
 31.38423769 31.51153856 31.82379263 34.44676248 34.47913607 35.79786104
 35.83307951]","[ 8.65705486  8.67462753  8.69390687  8.7267005   8.75326208  8.83594471
  8.96034929  8.98164429  9.04188566  9.13278931  9.21902511  9.27073528
  9.49014594  9.8501536   9.97765478 10.25009739 10.25790136 11.71267459
 15.9921207 ]",1170.711437,257.44911200581026,"[-0.00430305 -0.00596856 -0.00611635 -0.00575255 -0.00324576 -0.00894715
 -0.00230216 -0.00368345 -0.00590035 -0.00323439]",198,18,13,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,"[0.0942265  0.092581   0.09292696 0.09685669 0.09165952 0.10575552
 0.09275921 0.09246041 0.09654249 0.08669748]",True,<10x10 LbfgsInvHessProduct with dtype=float64>
